"year","month","gu","price"
"2011","08",마포구,565.5
"2011","08",서대문구,450.2
"2011","08",서초구,605.0
"2011","08",성동구,514.4
"2011","08",성북구,404.5
"2011","08",송파구,538.9
"2011","08",양천구,410.3
"2011","08",영등포구,468.6
"2011","08",용산구,734.4
"2011","08",은평구,366.8
"2011","08",종로구,620.5
"2011","08",중구,626.8
"2011","08",중랑구,357.4
"2011","09",강남구,692.5
"2011","09",강동구,457.8
"2011","09",강북구,367.2
"2011","09",강서구,377.1
"2011","09",관악구,447.3
"2011","09",광진구,499.1
"2011","09",구로구,386.1
"2011","09",금천구,323.5
"2011","09",노원구,387.6
"2011","09",도봉구,338.0
"2011","09",동대문구,398.3
"2011","09",동작구,448.4
"2011","09",마포구,571.4
"2011","09",서대문구,430.6
"2011","09",서초구,690.6
"2011","09",성동구,471.3
"2011","09",성북구,408.2
"2011","09",송파구,554.9
"2011","09",양천구,408.5
"2011","09",영등포구,493.8
"2011","09",용산구,705.1
"2011","09",은평구,377.8
"2011","09",종로구,600.2
"2011","09",중구,519.3
"2011","09",중랑구,366.1
"2011","10",강남구,768.3
"2011","10",강동구,444.3
"2011","10",강북구,360.5
"2011","10",강서구,370.1
"2011","10",관악구,412.3
"2011","10",광진구,471.3
"2011","10",구로구,367.8
"2011","10",금천구,337.3
"2011","10",노원구,403.1
"2011","10",도봉구,325.7
"2011","10",동대문구,393.1
"2011","10",동작구,457.6
"2011","10",마포구,564.0
"2011","10",서대문구,474.3
"2011","10",서초구,672.0
"2011","10",성동구,511.7
"2011","10",성북구,427.9
"2011","10",송파구,550.7
"2011","10",양천구,402.7
"2011","10",영등포구,461.7
"2011","10",용산구,669.0
"2011","10",은평구,363.5
"2011","10",종로구,552.3
"2011","10",중구,558.4
"2011","10",중랑구,372.2
"2011","11",강남구,727.4
"2011","11",강동구,459.8
"2011","11",강북구,352.4
"2011","11",강서구,383.8
"2011","11",관악구,429.0
"2011","11",광진구,489.5
"2011","11",구로구,356.4
"2011","11",금천구,325.0
