"year","month","gu","price","kind"
"2010","07",노원구,427.4,"1"
"2010","07",은평구,447.4,"1"
"2010","07",서대문구,442.5,"1"
"2010","07",마포구,574.3,"1"
"2010","07",양천구,602.8,"1"
"2010","07",강서구,456.7,"1"
"2010","07",구로구,432.1,"1"
"2010","07",금천구,337.1,"1"
"2010","07",영등포구,564.8,"1"
"2010","07",동작구,546.7,"1"
"2010","07",관악구,465.4,"1"
"2010","07",서초구,893.8,"1"
"2010","07",강남구,1017.4,"1"
"2010","07",송파구,867.3,"1"
"2010","07",강동구,603.0,"1"
"2010","08",종로구,512.3,"1"
"2010","08",중구,603.3,"1"
"2010","08",용산구,760.2,"1"
"2010","08",성동구,570.8,"1"
"2010","08",광진구,599.6,"1"
"2010","08",동대문구,441.0,"1"
"2010","08",중랑구,397.9,"1"
"2010","08",성북구,440.3,"1"
"2010","08",강북구,398.0,"1"
"2010","08",도봉구,368.1,"1"
"2010","08",노원구,429.0,"1"
"2010","08",은평구,473.2,"1"
"2010","08",서대문구,426.8,"1"
"2010","08",마포구,629.5,"1"
"2010","08",양천구,668.9,"1"
"2010","08",강서구,445.1,"1"
"2010","08",구로구,421.3,"1"
"2010","08",금천구,332.7,"1"
"2010","08",영등포구,577.6,"1"
"2010","08",동작구,546.8,"1"
"2010","08",관악구,487.6,"1"
"2010","08",서초구,877.3,"1"
"2010","08",강남구,1082.6,"1"
"2010","08",송파구,823.5,"1"
"2010","08",강동구,621.7,"1"
"2010","09",종로구,519.0,"1"
"2010","09",중구,575.5,"1"
"2010","09",용산구,787.2,"1"
"2010","09",성동구,558.2,"1"
"2010","09",광진구,621.2,"1"
"2010","09",동대문구,456.8,"1"
"2010","09",중랑구,402.3,"1"
"2010","09",성북구,434.6,"1"
"2010","09",강북구,387.5,"1"
"2010","09",도봉구,385.9,"1"
"2010","09",노원구,427.8,"1"
"2010","09",은평구,451.4,"1"
"2010","09",서대문구,443.5,"1"
"2010","09",마포구,591.1,"1"
"2010","09",양천구,617.7,"1"
"2010","09",강서구,451.9,"1"
"2010","09",구로구,422.0,"1"
"2010","09",금천구,350.0,"1"
"2010","09",영등포구,598.3,"1"
"2010","09",동작구,550.2,"1"
"2010","09",관악구,482.1,"1"
"2010","09",서초구,887.6,"1"
"2010","09",강남구,1085.3,"1"
"2010","09",송파구,858.4,"1"
"2010","09",강동구,632.3,"1"
"2011","01",종로구,585.1,"1"
"2011","01",중구,592.0,"1"
"2011","01",용산구,810.6,"1"
"2011","01",성동구,590.3,"1"
"2011","01",광진구,663.1,"1"
"2011","01",동대문구,463.9,"1"
"2011","01",중랑구,424.7,"1"
"2011","01",성북구,472.9,"1"
"2011","01",강북구,418.0,"1"
"2011","01",도봉구,394.7,"1"
"2011","01",노원구,450.5,"1"
"2011","01",은평구,451.6,"1"
"2011","01",서대문구,478.7,"1"
"2011","01",마포구,626.8,"1"
"2011","01",양천구,648.7,"1"
"2011","01",강서구,508.1,"1"
"2011","01",구로구,468.6,"1"
"2011","01",금천구,368.2,"1"
"2011","01",영등포구,566.1,"1"
"2011","01",동작구,590.9,"1"
"2011","01",관악구,500.4,"1"
"2011","01",서초구,897.2,"1"
"2011","01",강남구,1075.9,"1"
"2011","01",송파구,867.5,"1"
"2011","01",강동구,618.6,"1"
"2011","10",종로구,592.3,"1"
"2011","10",중구,583.9,"1"
"2011","10",용산구,708.3,"1"
"2011","10",성동구,588.1,"1"
"2011","10",광진구,621.0,"1"
"2011","10",동대문구,471.8,"1"
"2011","10",중랑구,429.9,"1"
"2011","10",성북구,455.3,"1"
"2011","10",강북구,414.9,"1"
"2011","10",도봉구,391.2,"1"
"2011","10",노원구,440.0,"1"
"2011","10",은평구,412.5,"1"
"2011","10",서대문구,469.4,"1"
"2011","10",마포구,629.4,"1"
"2011","10",양천구,581.5,"1"
"2011","10",강서구,473.4,"1"
"2011","10",구로구,443.5,"1"
"2011","10",금천구,357.4,"1"
"2011","10",영등포구,524.6,"1"
"2011","10",동작구,567.7,"1"
"2011","10",관악구,470.2,"1"
"2011","10",서초구,886.9,"1"
"2011","10",강남구,1092.7,"1"
"2011","10",송파구,864.2,"1"
"2011","10",강동구,624.5,"1"
