"고유번호","읍면동코드","읍면동명","읍면동영문명","위도","경도"
"254","11110164","종로6가","Jongno 6(yuk)-ga","37.5722418","127.0072739"
"255","11110147","재동","Jae-dong","37.5781586","126.9852528"
"256","11215104","광장동","Gwangjang-dong","37.5477291","127.1042141"
"261","11410115","봉원동","Bongwon-dong","37.5726345","126.9472294"
"257","11350106","중계동","Junggye-dong","37.6508772","127.0775077"
"258","11110181","행촌동","Haengchon-dong","37.5744857","126.9626521"
"259","11110185","홍지동","Hongji-dong","37.6005798","126.956785"
"262","11110110","누하동","Nuha-dong","37.5793623","126.9680055"
"263","11140147","쌍림동","Ssangnim-dong","37.5637681","127.0045496"
"264","11140148","을지로6가","Euljiro 6(yuk)-ga","37.567505","127.0070795"
"265","11140151","을지로5가","Euljiro 5(o)-ga","37.5668186","127.0021802"
"266","11440106","토정동","Tojeong-dong","37.5388869","126.9396827"
"267","11140153","방산동","Bangsan-dong","37.5685483","127.0031304"
"268","11140154","오장동","Ojang-dong","37.5644435","127.0010469"
"269","11110186","신영동","Sinyeong-dong","37.6030533","126.9618054"
"270","11170104","갈월동","Garwol-dong","37.5449357","126.9730564"
"271","11440118","당인동","Dangin-dong","37.5447269","126.9194336"
"272","11110166","연건동","Yeongeon-dong","37.5784882","126.9996742"
"274","11110177","평동","Pyeong-dong","37.5676735","126.9668353"
"275","11110179","홍파동","Hongpa-dong","37.5711594","126.9641514"
"276","11140165","황학동","Hwanghak-dong","37.5685914","127.0204705"
"290","11290131","보문동2가","Bomun-dong 2(i)-ga","37.5858496","127.0183007"
"299","11500109","방화동","Banghwa-dong","37.5773667","126.814752"
"300","11500110","개화동","Gaehwa-dong","37.5865739","126.8031382"
"301","11560134","양평동","Yangpyeong-dong","37.5326108","126.8899608"
"302","11290133","정릉동","Jeongneung-dong","37.6167753","126.9983569"
"303","11500105","마곡동","Magok-dong","37.574112","126.8309811"
"311","11140160","인현동1가","Inhyeon-dong 1(il)-ga","37.5645365","126.9945521"
"318","11440116","하중동","Hajung-dong","37.5438506","126.9279703"
"319","11560106","영등포동5가","Yeongdeungpo-dong 5(o)-ga","37.5210399","126.9068175"
"326","11290126","보문동4가","Bomun-dong 4(sa)-ga","37.5829039","127.021382"
"329","11290127","보문동5가","Bomun-dong 5(o)-ga","37.5824037","127.0201558"
"330","11440125","성산동","Seongsan-dong","37.5662175","126.9039248"
"331","11620102","신림동","Sillim-dong","37.4630314","126.9347745"
"372","11290129","보문동7가","Bomun-dong 7(chil)-ga","37.5796096","127.0223212"
"375","11290130","보문동1가","Bomun-dong 1(il)-ga","37.5864995","127.0196089"
"377","11530107","개봉동","Gaebong-dong","37.4946532","126.8517611"
"378","11545102","독산동","Doksan-dong","37.4663645","126.8975779"
"379","11590102","상도동","Sangdo-dong","37.4996854","126.9455504"
"380","11290138","장위동","Jangwi-dong","37.6160358","127.0503365"
"381","11500104","가양동","Gayang-dong","37.567984","126.844436"
"383","11620101","봉천동","Bongcheon-dong","37.4750363","126.9490874"
"384","11500111","과해동","Gwahae-dong","37.5662169","126.7883549"
"386","11290102","성북동1가","Seongbuk-dong 1(il)-ga","37.5895393","127.0040328"
"393","11680105","삼성동","Samseong-dong","37.5147968","127.0550895"
"304","11230101","신설동","Sinseol-dong","37.5748049","127.0255929"
"305","11410107","옥천동","Okcheon-dong","37.5692019","126.9591256"
"306","11170103","용산동4가","Yongsan-dong 4(sa)-ga","37.5305892","126.9858834"
"307","11170106","용산동1가","Yongsan-dong 1(il)-ga","37.5402662","126.976971"
"308","11410113","대신동","Daesin-dong","37.5646453","126.9439073"
"309","11680103","개포동","Gaepo-dong","37.4824461","127.0627322"
"310","11140155","을지로3가","Euljiro 3(sam)-ga","37.5665987","126.9924032"
"312","11170133","서빙고동","Seobinggo-dong","37.5191265","126.991401"
"313","11215107","화양동","Hwayang-dong","37.5435023","127.0736981"
"336","11440113","구수동","Gusu-dong","37.5460069","126.932338"
"347","11710103","풍납동","Pungnap-dong","37.5335451","127.1132241"
"349","11560112","당산동2가","Dangsan-dong 2(i)-ga","37.5224645","126.8938151"
"361","11710114","마천동","Macheon-dong","37.497466","127.151561"
"367","11740105","길동","Gil-dong","37.5397058","127.1470066"
"277","11140166","서소문동","Seosomun-dong","37.5629167","126.9739582"
"278","11530111","천왕동","Cheonwang-dong","37.4801779","126.8394452"
"280","11350104","하계동","Hagye-dong","37.638495","127.071507"
