"고유번호","읍면동코드","읍면동명","읍면동영문명","위도","경도"
"463","11290105","동소문동2가","Dongsomun-dong 2(i)-ga","37.5888166","127.0081299"
"397","11710107","가락동","Garak-dong","37.4942803","127.1176311"
"398","11440111","신수동","Sinsu-dong","37.5480088","126.9372619"
"399","11560119","문래동1가","Mullae-dong 1(il)-ga","37.5118742","126.8975738"
"400","11560115","당산동5가","Dangsan-dong 5(o)-ga","37.5321286","126.90101"
"401","11560107","영등포동6가","Yeongdeungpo-dong 6(yuk)-ga","37.5222528","126.9030388"
"402","11560108","영등포동7가","Yeongdeungpo-dong 7(chil)-ga","37.5242607","126.9071884"
"403","11710106","삼전동","Samjeon-dong","37.5018103","127.0897698"
"404","11440126","중동","Jung-dong","37.5716735","126.9067456"
"405","11560105","영등포동4가","Yeongdeungpo-dong 4(sa)-ga","37.517862","126.9038985"
"406","11620103","남현동","Namhyeon-dong","37.4630565","126.9776244"
"407","11440124","연남동","Yeonnam-dong","37.5626693","126.9223734"
"408","11440121","동교동","Donggyo-dong","37.5580953","126.9258049"
"409","11440122","합정동","Hapjeong-dong","37.5478042","126.9079929"
"371","11290128","보문동6가","Bomun-dong 6(yuk)-ga","37.5806329","127.0192949"
"373","11290132","보문동3가","Bomun-dong 3(sam)-ga","37.584334","127.016517"
"374","11290124","안암동4가","Anam-dong 4(sa)-ga","37.5805404","127.0246072"
"376","11680101","역삼동","Yeoksam-dong","37.4998676","127.0386901"
"382","11560126","양평동2가","Yangpyeong-dong 2(i)-ga","37.5233387","126.8839345"
"385","11380106","대조동","Daejo-dong","37.6126506","126.9243912"
"387","11290107","동소문동4가","Dongsomun-dong 4(sa)-ga","37.5918678","127.0106029"
"388","11290114","삼선동4가","Samseon-dong 4(sa)-ga","37.5898185","127.013353"
"389","11680118","도곡동","Dogok-dong","37.4881299","127.0440333"
"390","11560103","영등포동2가","Yeongdeungpo-dong 2(i)-ga","37.5208906","126.9126698"
"391","11440115","상수동","Sangsu-dong","37.5470257","126.9243736"
"392","11740107","암사동","Amsa-dong","37.5577912","127.1295091"
"394","11680106","대치동","Daechi-dong","37.4989487","127.0646582"
"395","11290119","동선동4가","Dongseon-dong 4(sa)-ga","37.5951321","127.0188307"
"396","11680113","율현동","Yulhyeon-dong","37.4717408","127.1114701"
"421","11440127","상암동","Sangam-dong","37.5715459","126.877877"
"422","11470103","신월동","Sinwol-dong","37.5290519","126.8370637"
"423","11560111","당산동1가","Dangsan-dong 1(il)-ga","37.5214443","126.898537"
"424","11590101","노량진동","Noryangjin-dong","37.5115","126.9415118"
"425","11590103","상도1동","Sangdo 1(il)-dong","37.5032399","126.9498621"
"426","11290112","삼선동2가","Samseon-dong 2(i)-ga","37.5848587","127.0118856"
"427","11440108","대흥동","Daeheung-dong","37.5498968","126.9427567"
"429","11560121","문래동3가","Mullae-dong 3(sam)-ga","37.5171092","126.8959575"
"430","11560128","양평동4가","Yangpyeong-dong 4(sa)-ga","37.536431","126.8962332"
"432","11290134","길음동","Gireum-dong","37.6084879","127.0223924"
"433","11560114","당산동4가","Dangsan-dong 4(sa)-ga","37.5291366","126.8991344"
"438","11590104","본동","Bon-dong","37.5124878","126.9551132"
"434","11500107","외발산동","Oebalsan-dong","37.5495179","126.8203066"
"435","11590105","흑석동","Heukseok-dong","37.5052783","126.9638232"
"437","11500106","내발산동","Naebalsan-dong","37.5536081","126.8346843"
"410","11560110","여의도동","Yeouido-dong","37.5284328","126.9273753"
"412","11380101","수색동","Susaek-dong","37.5849864","126.8928476"
"413","11290104","동소문동1가","Dongsomun-dong 1(il)-ga","37.5901376","127.007256"
"415","11290122","안암동2가","Anam-dong 2(i)-ga","37.5868415","127.0232695"
"418","11290111","삼선동1가","Samseon-dong 1(il)-ga","37.5843841","127.0075165"
"416","11500101","염창동","Yeomchang-dong","37.5559718","126.8712408"
"417","11530109","궁동","Gung-dong","37.5009522","126.8286614"
"419","11290135","종암동","Jongam-dong","37.596525","127.0332811"
"448","11380104","갈현동","Galhyeon-dong","37.6210985","126.9132641"
"449","11530110","온수동","Onsu-dong","37.4936808","126.8204193"
"450","11380102","녹번동","Nokbeon-dong","37.6041196","126.9344912"
"451","11380103","불광동","Bulgwang-dong","37.6191932","126.935134"
"453","11680104","청담동","Cheongdam-dong","37.5255867","127.0522746"
"454","11290116","동선동1가","Dongseon-dong 1(il)-ga","37.5924569","127.0182087"
"455","11380110","증산동","Jeungsan-dong","37.583179","126.9061068"
"456","11380105","구산동","Gusan-dong","37.6122006","126.9088192"
"457","11380108","역촌동","Yeokchon-dong","37.60508","126.9121446"
"459","11290110","동소문동7가","Dongsomun-dong 7(chil)-ga","37.5963137","127.0142973"
"460","11410116","창천동","Changcheon-dong","37.558812","126.934147"
"461","11290136","하월곡동","Hawolgok-dong","37.6041679","127.0378885"
"462","11290137","상월곡동","Sangwolgok-dong","37.6060556","127.0475388"
"464","11170107","동자동","Dongja-dong","37.5515203","126.9729154"
"465","11710111","방이동","Bangi-dong","37.5163579","127.1260688"
"466","11200106","사근동","Sageun-dong","37.5589469","127.046752"
"467","11305103","수유동","Suyu-dong","37.6371315","127.007544"
"439","11500103","화곡동","Hwagok-dong","37.5421699","126.8468431"
"440","11590108","대방동","Daebang-dong","37.5067515","126.9277454"
"441","11590109","신대방동","Sindaebang-dong","37.4921384","126.9166599"
"442","11290125","안암동5가","Anam-dong 5(o)-ga","37.5884384","127.0295868"
"447","11290109","동소문동6가","Dongsomun-dong 6(yuk)-ga","37.5936325","127.0140286"
"444","11380114","진관동","Jingwan-dong","37.6422519","126.934085"
"445","11500113","오쇠동","Osoe-dong","37.5435569","126.7978763"
