"년","구이름","동이름","평균거래금액","평균전용면적","평당가격","구분"
"2010",강동구,둔촌동,57922,77.0,770,"1"
"2010",강서구,등촌동,36562,73.0,499,"1"
"2010",강서구,마곡동,37517,73.0,512,"1"
"2010",성동구,마장동,37505,73.0,519,"1"
"2010",송파구,마천동,33989,68.0,503,"1"
"2010",마포구,마포동,38447,73.0,518,"1"
"2010",중구,만리동1가,38000,81.0,480,"1"
"2010",중랑구,망우동,28931,71.0,410,"1"
"2010",마포구,망원동,36977,76.0,489,"1"
"2010",중랑구,면목동,27493,69.0,405,"1"
"2010",종로구,명륜1가,29800,76.0,389,"1"
"2010",종로구,명륜2가,48789,78.0,624,"1"
"2010",강동구,명일동,46531,77.0,609,"1"
"2010",양천구,목동,68328,85.0,804,"1"
"2010",종로구,무악동,55718,85.0,652,"1"
"2010",중랑구,묵동,32770,75.0,435,"1"
"2010",중구,묵정동,20040,52.0,382,"1"
"2010",영등포구,문래동2가,29133,51.0,574,"1"
"2010",영등포구,문래동3가,60913,96.0,630,"1"
"2010",영등포구,문래동4가,33863,72.0,463,"1"
"2010",영등포구,문래동5가,31792,77.0,415,"1"
"2010",영등포구,문래동6가,28908,64.0,461,"1"
"2010",용산구,문배동,58655,90.0,652,"1"
"2010",송파구,문정동,64349,89.0,706,"1"
"2010",강북구,미아동,32804,79.0,421,"1"
"2010",서초구,반포동,124780,103.0,1230,"1"
"2010",서초구,방배동,85463,113.0,761,"1"
"2010",송파구,방이동,82467,97.0,830,"1"
"2010",도봉구,방학동,29375,77.0,372,"1"
"2010",강서구,방화동,28239,63.0,447,"1"
"2010",강북구,번동,26362,66.0,402,"1"
"2010",용산구,보광동,65500,81.0,803,"1"
"2010",성북구,보문동3가,42523,81.0,527,"1"
"2010",성북구,보문동6가,31467,85.0,371,"1"
"2010",동작구,본동,48109,79.0,608,"1"
"2010",관악구,봉천동,36414,76.0,486,"1"
"2010",종로구,부암동,37000,102.0,365,"1"
"2010",서대문구,북가좌동,34800,80.0,436,"1"
"2010",서대문구,북아현동,31239,69.0,462,"1"
"2010",은평구,불광동,34699,77.0,451,"1"
"2010",성동구,사근동,30661,80.0,389,"1"
"2010",동작구,사당동,43073,78.0,562,"1"
"2010",종로구,사직동,94803,118.0,806,"1"
"2010",중구,산림동,40000,83.0,480,"1"
"2010",용산구,산천동,45950,73.0,627,"1"
"2010",성북구,삼선동2가,37236,78.0,484,"1"
"2010",성북구,삼선동3가,30320,91.0,334,"1"
"2010",성북구,삼선동4가,34568,71.0,494,"1"
"2010",성북구,삼선동5가,25300,75.0,343,"1"
"2010",강남구,삼성동,80695,84.0,919,"1"
"2010",송파구,삼전동,42833,77.0,558,"1"
"2010",노원구,상계동,25332,60.0,426,"1"
"2010",동작구,상도1동,28600,78.0,366,"1"
"2010",동작구,상도동,48271,83.0,586,"1"
"2010",중랑구,상봉동,33830,77.0,437,"1"
"2010",마포구,상수동,58600,93.0,634,"1"
"2010",마포구,상암동,53366,80.0,661,"1"
"2010",성북구,상월곡동,28677,71.0,403,"1"
"2010",강동구,상일동,54064,57.0,975,"1"
"2010",마포구,서교동,26478,56.0,492,"1"
"2010",용산구,서빙고동,126453,142.0,892,"1"
"2010",서초구,서초동,85908,100.0,810,"1"
"2010",성북구,석관동,34345,76.0,455,"1"
"2010",송파구,석촌동,56328,87.0,653,"1"
"2010",강동구,성내동,35140,73.0,491,"1"
"2010",성북구,성북동,28875,70.0,380,"1"
"2010",마포구,성산동,38035,64.0,623,"1"
"2010",성동구,성수동1가,47450,71.0,678,"1"
