건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2000,2011,정릉동,"16,500","정릉성원아파트 101동, 102동",1,0,11,84.92,1019,11290,5
2008,2011,정릉동,"20,000",라온유,1,0,11,84.65,1034,11290,9
2003,2011,정릉동,"16,500",정릉푸른마을동아,1,0,11,59.4,210,11290,2
2004,2011,정릉동,"22,000",정릉힐스테이트,1,0,12,84.92,1025,11290,8
2000,2011,정릉동,"15,000",정릉우성아파트 101~105동,1,0,12,59.97,1020,11290,5
2006,2011,정릉동,"16,000",정릉e-편한세상,1,0,12,59.77,1028,11290,7
2006,2011,정릉동,"19,000",정릉e-편한세상,1,0,12,85,1028,11290,2
2005,2011,정릉동,"5,000",정릉하이츠빌2단지,1,70,13,59.99,435,11290,15
2009,2011,정릉동,"30,000",정릉2차e-편한세상,1,0,13,114.96,1035,11290,8
2000,2011,정릉동,"12,000",정릉우성아파트 101~105동,1,0,13,46.65,1020,11290,16
2000,2011,정릉동,"17,000","정릉성원아파트 101동, 102동",1,0,14,84.91,1019,11290,11
2006,2011,정릉동,"18,000",정릉e-편한세상,1,0,14,85,1028,11290,11
2006,2011,정릉동,"16,000",정릉e-편한세상,1,0,14,59.77,1028,11290,20
2008,2011,정릉동,"23,000",라온유,1,0,14,84.65,1034,11290,26
2006,2011,정릉동,"5,000",정릉e-편한세상,1,90,14,85,1028,11290,5
2006,2011,정릉동,"18,000",정릉e-편한세상,1,0,14,85,1028,11290,6
2006,2011,정릉동,"23,000",정릉e-편한세상,1,0,14,114.56,1028,11290,4
2005,2011,정릉동,"2,500",정릉하이츠빌2단지,1,100,15,84.95,435,11290,6
2008,2011,정릉동,"23,000",라온유,1,0,15,84.65,1034,11290,9
2005,2011,정릉동,"5,000",정릉풍림아이원,1,60,15,59.88,239,11290,6
2000,2011,정릉동,"12,000",정릉우성아파트 101~105동,1,0,15,46.65,1020,11290,11
2008,2011,정릉동,"6,000",정릉힐스테이트3차,1,70,15,59.98,1031,11290,3
2009,2011,정릉동,"18,000",우정에쉐르,1,0,18,84.92,1033,11290,1
2005,2011,정릉동,"18,000",정릉풍림아이원,1,0,18,84.09,239,11290,6
2005,2011,정릉동,"21,000",정릉푸르지오,1,0,19,84.89,406,11290,7
2003,2011,정릉동,"18,000",정릉푸른마을동아,1,0,19,84.96,210,11290,16
2005,2011,정릉동,"17,000",정릉풍림아이원,1,0,19,84.09,239,11290,4
2004,2011,정릉동,"19,000",정릉하이츠빌1단지,1,0,19,84.98,494,11290,17
2005,2011,정릉동,"13,000",정릉풍림아이원,1,0,20,60,239,11290,20
2004,2011,정릉동,"17,500",정릉힐스테이트,1,0,20,84.92,1025,11290,6
2003,2011,정릉동,"17,000",정릉푸른마을동아,1,0,21,84.96,210,11290,14
2001,2011,정릉동,"9,000",대우,1,0,21,43.11,1021,11290,2
2004,2011,정릉동,"22,000",정릉힐스테이트,1,0,21,84.92,1025,11290,2
1999,2011,정릉동,"14,000",경남,1,0,21,59.59,1015,11290,3
2005,2011,정릉동,"14,800",정릉풍림아이원,1,0,21,59.88,239,11290,11
2006,2011,정릉동,"25,000",정릉e-편한세상,1,0,22,114.56,1028,11290,4
2000,2011,정릉동,"18,000",정릉우성아파트 101~105동,1,0,22,84.96,1020,11290,9
2001,2011,정릉동,"10,000",대우,1,0,22,43.11,1021,11290,13
2008,2011,정릉동,"20,000",정릉힐스테이트3차,1,0,22,84.97,1031,11290,1
2005,2011,정릉동,"19,000",정릉하이츠빌2단지,1,0,22,84.6824,435,11290,9
2005,2011,정릉동,"18,000",정릉풍림아이원,1,0,22,84.09,239,11290,10
2005,2011,정릉동,"13,000",정릉풍림아이원,1,0,22,59.88,239,11290,9
2001,2011,정릉동,"16,000",대우,1,0,23,84.83,1021,11290,4
2005,2011,정릉동,"21,000",정릉풍림아이원,1,0,24,114.75,239,11290,13
2007,2011,정릉동,"25,000",정릉힐스테이트1차,1,0,24,84.853,1030,11290,7
2003,2011,정릉동,"19,000",정릉푸른마을동아,1,0,24,84.96,210,11290,7
2000,2011,정릉동,"3,000",정릉우성아파트 101~105동,1,50,24,114.97,1020,11290,17
