°Å·¡±Ý¾×,°ÇÃà³âµµ,³â,´ëÁö±Ç¸éÀû,¹ýÁ¤µ¿,¿¬¸³´Ù¼¼´ë,¿ù,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
"12,500",1993,2015,22.148,¿¬Èñµ¿,´ë¸íºô¶ó,10,26,49.5,187-121,11410,3
"32,500",1986,2015,81.33,¿¬Èñµ¿,µ¿Áøºô¶ó,10,26,65.07,141-34,11410,1
"16,000",1999,2015,30.42,¿¬Èñµ¿,ÀÓ°æºô¶ó,10,28,54.93,537-214,11410,2
"21,500",2004,2015,49.62,¿¬Èñµ¿,Çö´ëºô¶ó,10,31,84.98,537-46,11410,2
"7,050",1982,2015,26.45,È«Àºµ¿,(10-205),10,1,32.73,10-205,11410,1
"19,000",1978,2015,66.17,È«Àºµ¿,Á¤¿ø¿¬¸³(°¡µ¿),10,3,69.92,265-333,11410,2
"8,800",1992,2015,26.41,È«Àºµ¿,(8-34),10,6,36.91,8-34,11410,2
"13,000",2015,2015,14.58,È«Àºµ¿,µ¿ºÎÄ³½½(11-792),10,7,22.83,11-792,11410,5
"20,900",2002,2015,39.5,È«Àºµ¿,µ¿±¤ºô¸®Áö,10,7,70.16,403-6,11410,3
"7,500",1991,2015,28.38,È«Àºµ¿,È«Àº±×¸°ÆÄÅ©ºô¶ó(ÀÚµ¿),10,8,41.44,265-213,11410,1
"31,000",2003,2015,73.39,È«Àºµ¿,(405-26),10,10,130.05,405-26,11410,3
"18,900",2003,2015,40.43,È«Àºµ¿,È«Àº¸®Ä¡ºô,10,10,71.63,277-58,11410,5
"11,500",1992,2015,24.78,È«Àºµ¿,¼º¿øºô¶ó,10,12,55.08,265-151,11410,2
"13,800",2002,2015,40.44,È«Àºµ¿,(191-22),10,13,48.86,191-22,11410,3
"11,700",1988,2015,39.13,È«Àºµ¿,Á»°Çºô¶ó(°¡µ¿),10,14,42.33,195-7,11410,2
"17,500",2002,2015,41.82,È«Àºµ¿,ºí·çºô,10,14,70.4,324-3,11410,1
"20,700",2015,2015,24.69,È«Àºµ¿,ÇØ¹Ð¸¶À»1Â÷,10,16,34.24,10-196,11410,2
"23,300",2015,2015,26.38,È«Àºµ¿,ÇØ¿À¸§Å¸¿î,10,16,36.97,410-9,11410,2
"23,000",1985,2015,71.87,È«Àºµ¿,»ï¼ººô¶ó,10,17,84.51,188-29,11410,2
"11,000",1991,2015,31.71,È«Àºµ¿,(265-472),10,17,58.82,265-472,11410,2
"11,000",2012,2015,16.6,È«Àºµ¿,°æ¿øÅ¾½ººô(265-197),10,19,69.12,265-197,11410,-1
"25,400",2015,2015,41.31,È«Àºµ¿,¸¶À¸¹Ì°¡,10,21,53.65,265-365,11410,3
"18,250",2010,2015,43.83,È«Àºµ¿,»õ´ãºô2Â÷,10,21,59.81,188-2,11410,2
"18,900",1992,2015,39.9,È«Àºµ¿,ÀÏ¾çºô¶ó,10,22,71.01,281-17,11410,2
"15,900",2003,2015,31.03,È«Àºµ¿,¿ì¼ºÄÉÀÌ¾¾ºô-¿¡ÀÌµ¿,10,23,60.21,374,11410,5
"21,000",2014,2015,22.06,È«Àºµ¿,»þ¸£¸Á¸ÞÁ¾,10,26,38.36,397-33,11410,5
"22,450",2004,2015,30.44,È«Àºµ¿,¿¥È­ÀÏºô¶óÆ®,10,26,63.55,274-112,11410,2
"22,000",2003,2015,37.74,È«Àºµ¿,¸¸¹Îº£½ºÆ¼ºô(277-54),10,27,70.16,277-54,11410,5
"13,000",1994,2015,25.06,È«Àºµ¿,ÁÖ¿¬ÇÏÀÌÃ÷,10,28,56.77,332-23,11410,2
"20,500",1998,2015,39.49,È«Àºµ¿,´ë»óºô¶óÆ®,10,28,80.68,323-4,11410,2
"22,900",2015,2015,26.38,È«Àºµ¿,ÇØ¿À¸§Å¸¿î,10,29,36.97,410-9,11410,2
"25,000",2015,2015,36.09,È«Àºµ¿,¹éÇâºô¶ó,10,29,51.67,414-10,11410,2
"9,950",1994,2015,15.9,ºÏ°¡ÁÂµ¿,¼¼¿ø¾ÆÆ®ºô¶ó,10,2,36.36,280-33,11410,1
"14,700",2013,2015,21.62,ºÏ°¡ÁÂµ¿,¼ö¼º·º½ººô,10,4,36.44,339-37,11410,2
"16,300",1996,2015,31.12,ºÏ°¡ÁÂµ¿,Á¤¿ìºô¶ó,10,4,66.76,3-102,11410,2
"12,000",1993,2015,19.7,ºÏ°¡ÁÂµ¿,(380-8),10,5,42.18,380-8,11410,2
"8,000",1997,2015,18.29,ºÏ°¡ÁÂµ¿,(317-25),10,5,37.17,317-25,11410,-1
"12,300",2011,2015,16.82,ºÏ°¡ÁÂµ¿,¿ÀÅõºô,10,6,29.81,3-115,11410,1
"25,000",2015,2015,33.48518,ºÏ°¡ÁÂµ¿,(289-16),10,6,56.93,289-16,11410,2
"15,800",2009,2015,27.61,ºÏ°¡ÁÂµ¿,½ÅÀÏ¾ÆÆ®ºô,10,7,48.3,277-6,11410,4
"18,000",1991,2015,26.66,ºÏ°¡ÁÂµ¿,Á¤¿øºô¶ó,10,8,58.35,305-10,11410,4
"14,500",1991,2015,18.55,ºÏ°¡ÁÂµ¿,»ï½Åºô¶ó,10,8,40.82,381-23,11410,1
"24,000",2002,2015,32.78,ºÏ°¡ÁÂµ¿,ÃÊ¿øºô¶ó(B),10,8,63.56,350-27,11410,4
"8,900",1986,2015,28.16,ºÏ°¡ÁÂµ¿,(74-177),10,8,40.02,74-177,11410,-1
"18,900",2006,2015,27.5,ºÏ°¡ÁÂµ¿,¿ìÃ¢ÆÄÅ©ºô,10,9,48.24,328-5,11410,4
"13,000",1987,2015,31.3,ºÏ°¡ÁÂµ¿,Á¦ÀÏºô¶óAµ¿,10,12,41.49,186-97,11410,-1
"17,200",2013,2015,25.94,ºÏ°¡ÁÂµ¿,°Å¼º¸®Á¨½Ã(339-15),10,12,42.9,339-15,11410,5
"20,000",2002,2015,28.84,ºÏ°¡ÁÂµ¿,¸íÁöºô¶óÆ®,10,13,53.52,325-4,11410,4
"11,000",2002,2015,29.16,ºÏ°¡ÁÂµ¿,Á¤¿øÇÏÀÌÃ÷ºôAµ¿,10,13,56.57,5-104,11410,-1
"11,900",1994,2015,27.02,ºÏ°¡ÁÂµ¿,¿Á»êºô¶ó,10,14,47.28,5-18,11410,3
"15,400",1995,2015,22.35,ºÏ°¡ÁÂµ¿,¹é¸í±×·£µåºô¶ó,10,15,51.92,322-1,11410,2
"22,000",2007,2015,38.15,ºÏ°¡ÁÂµ¿,LGºô¶ó(276-8),10,15,69.93,276-8,11410,1
"16,300",2001,2015,18.52,ºÏ°¡ÁÂµ¿,Çõ¼ö¸Ç¼Ç,10,15,43.38,347-3,11410,2
"13,000",1993,2015,19.07,ºÏ°¡ÁÂµ¿,´ë¿ìºô¸®Áö,10,15,42.84,3-145,11410,1
"18,000",1992,2015,23.7,ºÏ°¡ÁÂµ¿,¸¶´çºô¶ó,10,16,59.16,312-15,11410,2
"20,500",1993,2015,30.05,ºÏ°¡ÁÂµ¿,¹é»êÇÏÀÌÃ÷ºô¶ó(320-22),10,17,61.155,320-22,11410,2
"21,000",2014,2015,28.42,ºÏ°¡ÁÂµ¿,Y¾ØÄ³½½,10,19,47.81,295-22,11410,3
"10,400",1991,2015,19.92,ºÏ°¡ÁÂµ¿,¹ÌÁÖºô¶ó,10,19,37.96,68-71,11410,3
"18,000",2001,2015,24.44,ºÏ°¡ÁÂµ¿,Çà¿îºô¶ó,10,19,55.2,279-18,11410,1
"19,500",2001,2015,27.71,ºÏ°¡ÁÂµ¿,Ãæ¿ì,10,20,63.99,319-16,11410,2
"18,000",2002,2015,33.45,ºÏ°¡ÁÂµ¿,(377-10),10,20,48.33,377-10,11410,2
"18,200",2002,2015,26.36,ºÏ°¡ÁÂµ¿,LGÅ¸¿î(345-43),10,21,47.98,345-43,11410,2
"7,500",1995,2015,21.05,ºÏ°¡ÁÂµ¿,(2-75),10,22,42.96,2-75,11410,-1
"14,100",1997,2015,29.55,ºÏ°¡ÁÂµ¿,½Å¼ººô¶ó,10,22,53.05,5-15,11410,2
"12,200",2010,2015,16.86,ºÏ°¡ÁÂµ¿,Ã»¿îÇÏÀÌÃ÷(3-129),10,22,29.99,3-129,11410,2
"10,000",1994,2015,19.03,ºÏ°¡ÁÂµ¿,¼öÀÌºô¶ó,10,24,42.66,285-1,11410,1
"25,700",2003,2015,40.01,ºÏ°¡ÁÂµ¿,¹é¼Ûºô¶ó,10,24,77.1,314-35,11410,2
"22,500",2013,2015,30.56,ºÏ°¡ÁÂµ¿,±×¸°ÇÏ¿ì½º,10,24,52.8,325-16,11410,3
"11,100",1993,2015,30.42,ºÏ°¡ÁÂµ¿,¹Ì¼ººô¸®Áö,10,26,62.49,3-22,11410,-1
"24,000",2002,2015,35.03,ºÏ°¡ÁÂµ¿,³ª¼ººô¶ó,10,27,72.91,308-9,11410,4
"15,000",1995,2015,30.16,ºÏ°¡ÁÂµ¿,±Û·Î¸®ºô¶ó(³ªµ¿),10,28,56.71,5-21,11410,1
"14,500",1986,2015,37.5,ºÏ°¡ÁÂµ¿,(2-52),10,28,54.75,2-52,11410,1
"20,500",2002,2015,26.92,ºÏ°¡ÁÂµ¿,»ï¿¬¾ÆÆ®ºô,10,30,48.75,325-5,11410,2
"13,800",2010,2015,23.73,ºÏ°¡ÁÂµ¿,¿µÁÖ¾ÆÆ®ºô,10,30,39.76,282-28,11410,4
"9,000",1990,2015,23.73,ºÏ°¡ÁÂµ¿,(283-13),10,31,30.16,283-13,11410,1
"14,750",2013,2015,18.09,ºÏ°¡ÁÂµ¿,µ¿ÇÏ¾ÆÆ®ºô,10,31,29.64,7-4,11410,2
"13,000",2002,2015,26.93,ºÏ°¡ÁÂµ¿,ÆÄÀÎºô,10,31,54.14,3-52,11410,4
"18,600",1993,2015,41.67,ºÏ°¡ÁÂµ¿,(2-7),10,31,83.52,2-7,11410,2
"16,700",1986,2015,40.7,³²°¡ÁÂµ¿,(3-8),10,2,59.3,3-8,11410,1
"20,100",2002,2015,28.64,³²°¡ÁÂµ¿,»ï¼º¾ÆÆ®ºô,10,4,59.2,367-6,11410,3
"8,500",1992,2015,15.2,³²°¡ÁÂµ¿,(5-132),10,6,30.68,5-132,11410,3
"21,300",2015,2015,31.467,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,53.15,229-3,11410,5
"20,600",2015,2015,30.881,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,52.76,229-3,11410,5
"21,000",2015,2015,31.236,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,52.16,229-3,11410,4
"24,950",2015,2015,35.452,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,59.88,229-3,11410,3
"24,050",2015,2015,35.12,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,59.32,229-3,11410,3
"23,500",2015,2015,33.865,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,57.2,229-3,11410,3
"24,950",2015,2015,35.452,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,59.88,229-3,11410,2
"24,050",2015,2015,35.12,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,59.32,229-3,11410,2
"23,500",2015,2015,33.865,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,57.2,229-3,11410,2
"23,100",2015,2015,33.243,³²°¡ÁÂµ¿,¾Æ½ºÅ×¸£ºô(229-3),10,7,56.15,229-3,11410,4
"20,000",2011,2015,25.77,³²°¡ÁÂµ¿,³ëºí·¹½ººô,10,15,46.37,335-6,11410,5
"18,400",2015,2015,26.99,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,45.8,5-98,11410,5
"21,600",2015,2015,31.17,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,52.87,5-98,11410,4
"22,100",2015,2015,31.17,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,52.87,5-98,11410,3
"22,100",2015,2015,31.17,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,52.87,5-98,11410,3
"22,100",2015,2015,31.17,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,52.87,5-98,11410,2
"22,100",2015,2015,31.17,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,52.87,5-98,11410,2
"21,600",2015,2015,31.17,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,52.87,5-98,11410,4
"18,400",2015,2015,26.99,³²°¡ÁÂµ¿,ÄÚÁöºô2,10,22,45.8,5-98,11410,5
"20,520",1991,2015,37.43,³²°¡ÁÂµ¿,ÀÏ½Åºô¶ó2µ¿,10,22,55.46,371-17,11410,1
"25,000",2002,2015,43.47,³²°¡ÁÂµ¿,(224-168),10,26,80.9,224-168,11410,3
"18,450",2003,2015,31.28,³²°¡ÁÂµ¿,¿ì¸²ÁÖÅÃ,10,27,61.32,339-7,11410,3
"24,300",2008,2015,26.45,ÃæÁ¤·Î2°¡,(56-1),11,9,44.05,56-1,11410,3
"27,100",1994,2015,54.72,ÃæÁ¤·Î3°¡,(3-107),11,8,40.68,3-107,11410,1
"12,000",2001,2015,12.95,ÃæÁ¤·Î3°¡,(3-20),11,23,28.94,3-20,11410,3
"29,500",2002,2015,40.27,ÇÕµ¿,¸ùºí¶ûÇÏ¿ì½º,11,18,67.49,31-8,11410,5
"21,000",2015,2015,18.26,Ãµ¿¬µ¿,±ÝÈ­ÆÓ¸®½º,11,6,29.45,98-20,11410,3
"39,000",1986,2015,80.63,Ãµ¿¬µ¿,±¤ÇÏºô¶ó,11,19,115.77,98-17,11410,3
"19,800",2015,2015,18.4,Ãµ¿¬µ¿,±ÝÈ­ÆÓ¸®½º,11,20,29.67,98-20,11410,2
"21,250",2004,2015,35.17,¿ÁÃµµ¿,(126-101),11,11,48,126-101,11410,3
"27,100",2002,2015,27.82,¿µÃµµ¿,¿µÃµºô¶ó,11,23,62.4,70-10,11410,2
"20,900",1991,2015,27.17,ºÏ¾ÆÇöµ¿,(115-35),11,4,56.88,115-35,11410,-1
"16,450",1995,2015,10.76,ºÏ¾ÆÇöµ¿,(1-44),11,10,20.89,1-44,11410,1
"10,000",1997,2015,21.8,ºÏ¾ÆÇöµ¿,(1-341),11,17,37.8,1-341,11410,4
"10,000",1997,2015,27.9,ºÏ¾ÆÇöµ¿,(1-341),11,17,48.27,1-341,11410,1
"8,000",1997,2015,21.3,ºÏ¾ÆÇöµ¿,(1-341),11,17,36.9,1-341,11410,1
"11,000",1997,2015,25.9,ºÏ¾ÆÇöµ¿,(1-341),11,17,44.85,1-341,11410,2
"9,000",1997,2015,21.3,ºÏ¾ÆÇöµ¿,(1-341),11,17,36.9,1-341,11410,2
"28,000",1997,2015,49.2,ºÏ¾ÆÇöµ¿,(1-341),11,17,85.17,1-341,11410,3
"10,000",1997,2015,19.5,ºÏ¾ÆÇöµ¿,(1-341),11,17,33.78,1-341,11410,4
"6,000",1997,2015,25.9,ºÏ¾ÆÇöµ¿,(1-341),11,17,44.85,1-341,11410,-1
"10,000",1997,2015,20.4,ºÏ¾ÆÇöµ¿,(1-341),11,17,35.28,1-341,11410,4
"12,000",1997,2015,25.9,ºÏ¾ÆÇöµ¿,(1-341),11,17,44.85,1-341,11410,3
"12,000",1997,2015,27.9,ºÏ¾ÆÇöµ¿,(1-341),11,17,48.27,1-341,11410,2
"6,000",1997,2015,21.3,ºÏ¾ÆÇöµ¿,(1-341),11,17,36.9,1-341,11410,-1
"9,000",1997,2015,21.3,ºÏ¾ÆÇöµ¿,(1-341),11,17,36.9,1-341,11410,2
"9,000",1997,2015,19.4,ºÏ¾ÆÇöµ¿,(1-341),11,17,33.54,1-341,11410,2
"8,000",1997,2015,19.4,ºÏ¾ÆÇöµ¿,(1-341),11,17,33.54,1-341,11410,1
"8,000",1997,2015,21.3,ºÏ¾ÆÇöµ¿,(1-341),11,17,36.9,1-341,11410,1
"9,800",1997,2015,25.9,ºÏ¾ÆÇöµ¿,(1-341),11,17,44.85,1-341,11410,1
"20,000",1997,2015,37.1,ºÏ¾ÆÇöµ¿,(1-341),11,17,64.2,1-341,11410,4
"20,000",1997,2015,40.7,ºÏ¾ÆÇöµ¿,(1-341),11,17,70.44,1-341,11410,3
"29,500",2008,2015,43,ºÏ¾ÆÇöµ¿,¸ª¾ÈÇÏÀÌºôBµ¿,11,18,68.12,1-330,11410,3
"21,000",1992,2015,25.82,ºÏ¾ÆÇöµ¿,ÆÄ·¹½ººô¶ó ³ª µ¿,11,28,49.8,1-343,11410,3
"47,000",1989,2015,72,ºÏ¾ÆÇöµ¿,¾ÆÇöºô¶ó,11,30,75.25,123-32,11410,3
"19,400",1995,2015,18.31,È«Á¦µ¿,(321-32),11,2,34.93,321-32,11410,2
"23,300",2000,2015,36.22,È«Á¦µ¿,¸¸¹Îº£½ºÆ®ºô(359-9),11,3,76.06,359-9,11410,3
"9,300",1994,2015,16.19,È«Á¦µ¿,´ë¿ø,11,4,32.35,312-21,11410,4
"19,500",1994,2015,26.87,È«Á¦µ¿,Çö´ëºô¸®Áö,11,6,59.76,367-19,11410,2
"19,400",1994,2015,26.82,È«Á¦µ¿,Çö´ëºô¸®Áö,11,10,59.67,367-19,11410,2
"13,000",2002,2015,29.17,È«Á¦µ¿,¿µ¾ÆÆ®ºô¶ó,11,12,50.57,360-101,11410,1
"27,000",2015,2015,30.14,È«Á¦µ¿,¿¹°¡Å©·¹½Ã¾Æ,11,12,44.93,361-70,11410,4
"18,500",1996,2015,44.98,È«Á¦µ¿,Èù±¹ÇüÁÖÅÃ,11,14,80.6,360-50,11410,3
"12,000",1993,2015,22.18,È«Á¦µ¿,»ïÈ¯ÇÏÀÌÃ÷¸Ç¼Ç,11,17,40.88,312-49,11410,1
"20,200",2013,2015,30.14,È«Á¦µ¿,ÀÌ¼öºô¶ó,11,17,68.51,274-117,11410,4
"15,000",1996,2015,23.88,È«Á¦µ¿,µ¿¾ç±×¸°ºô¶ó,11,18,51.52,5-128,11410,4
"26,000",1996,2015,32.91,È«Á¦µ¿,¸¸¹Îºô¶óÆ®(360-90),11,25,79.87,360-90,11410,4
"18,000",2000,2015,38.86,È«Á¦µ¿,Á¦¼ººô¶ó,11,25,56,5-35,11410,3
"16,000",2003,2015,23.25,È«Á¦µ¿,Çö´ë±×¸°ºô¶óµå,11,26,43.08,313-27,11410,1
"13,100",1993,2015,21.1,È«Á¦µ¿,¿¹±¤ºô¶ó,11,29,44.64,6-53,11410,1
"6,700",1965,2015,20.6,È«Á¦µ¿,È«Á¦,11,30,21.55,312-35,11410,2
"35,150",2015,2015,29.4,Ã¢Ãµµ¿,¸®Ã÷ÇÏ¿ì½º,11,4,51.26,366,11410,3
"39,000",2006,2015,49.19,Ã¢Ãµµ¿,À²µµ±¹ÀÎ(202µ¿),11,16,84.93,165-3,11410,3
"28,700",2015,2015,28,Ã¢Ãµµ¿,±Ý¹Ý¼®½ÃÆ¼ºô39Â÷,11,21,39.77,100-5,11410,3
"9,300",2001,2015,11.517,Ã¢Ãµµ¿,ºí·çÈú,11,23,22.74,100-124,11410,3
"9,900",2001,2015,11.689,Ã¢Ãµµ¿,ºí·çÈú,11,23,23.08,100-124,11410,3
"12,500",2001,2015,11.689,Ã¢Ãµµ¿,ºí·çÈú,11,23,23.08,100-124,11410,2
"12,000",2001,2015,11.658,Ã¢Ãµµ¿,ºí·çÈú,11,23,23.02,100-124,11410,2
"9,300",2001,2015,11.517,Ã¢Ãµµ¿,ºí·çÈú,11,23,22.74,100-124,11410,1
"20,000",1990,2015,48.83,Ã¢Ãµµ¿,¼¼Á¤ÇÏÀÌÃ÷,11,24,52.69,100-125,11410,2
"26,000",2015,2015,22.5,Ã¢Ãµµ¿,±Ý¹Ý¼®½ÃÆ¼ºô39Â÷,11,29,31.95,100-5,11410,1
"17,300",1982,2015,23.16,Ã¢Ãµµ¿,(4-118),11,29,45.62,4-118,11410,1
"30,600",2009,2015,50,Ã¢Ãµµ¿,¼Ò·Îºô,11,30,68.3,100-71,11410,3
"25,000",1991,2015,84,¿¬Èñµ¿,¿¬ÈñÆÄÅ©(200-114),11,1,84.24,200-114,11410,1
"51,000",1980,2015,73,¿¬Èñµ¿,(193-10),11,2,67.11,193-10,11410,2
"19,000",2006,2015,20.79,¿¬Èñµ¿,¿¬ÈñÀ¯Áöºô,11,2,59.26,520-26,11410,4
"8,900",1997,2015,12.06,¿¬Èñµ¿,º¸¼ººô¶ó,11,6,24.57,187-120,11410,2
"32,300",1992,2015,87.64,¿¬Èñµ¿,¿À¼ººô¶ó¿¬¸³ÁÖÅÃ,11,7,68.76,699,11410,2
"65,000",1999,2015,99.25,¿¬Èñµ¿,È­»ê¾ÆÆ®ºô,11,9,159.46,138-21,11410,1
"14,000",2011,2015,24.54,¿¬Èñµ¿,¿ì¸®µéÁý,11,9,39.65,142-12,11410,2
"15,000",1998,2015,22.28,¿¬Èñµ¿,¿¬Èñµ¿¾çºô¶óÆ®,11,10,46.89,437-19,11410,4
"53,500",1994,2015,140.89,¿¬Èñµ¿,¿¬ÈñÇö´ëºô¶ó(1µ¿~3µ¿),11,11,129.86,45-23,11410,2
"59,400",1980,2015,73,¿¬Èñµ¿,(193-10),11,12,67.11,193-10,11410,2
"9,000",1986,2015,28.6,¿¬Èñµ¿,Ã»±â¿ÍÁÖÅÃ,11,13,40.97,163-23,11410,2
"13,000",1991,2015,22.71,¿¬Èñµ¿,(171-3),11,15,42.48,171-3,11410,3
"8,000",1991,2015,15.9,¿¬Èñµ¿,(171-3),11,15,29.73,171-3,11410,4
"6,300",1991,2015,22.66,¿¬Èñµ¿,(171-3),11,15,42.4,171-3,11410,-1
"15,400",1991,2015,29.55,¿¬Èñµ¿,(171-3),11,15,55.26,171-3,11410,1
"14,000",1991,2015,26.85,¿¬Èñµ¿,(171-3),11,15,50.22,171-3,11410,2
"6,300",1991,2015,22.33,¿¬Èñµ¿,(171-3),11,15,41.77,171-3,11410,-1
"56,000",1980,2015,73,¿¬Èñµ¿,(193-10),11,17,67.11,193-10,11410,1
"11,000",1997,2015,49.72,¿¬Èñµ¿,(112-13),11,19,59.54,112-13,11410,-1
"57,000",1980,2015,73,¿¬Èñµ¿,(193-10),11,19,67.11,193-10,11410,2
"9,000",1996,2015,41.56,¿¬Èñµ¿,¿¬Èñ±×¸°ºô¶ó¿¡ÀÌºñµ¿,11,19,43.56,3-10,11410,-1
"25,500",1991,2015,72.04,¿¬Èñµ¿,¿¬ÈñÆÄ·¹½º(132-57),11,21,83.28,132-57,11410,2
"7,500",1992,2015,22.1,¿¬Èñµ¿,ÅÂ¾çºô¶ó,11,22,39.48,344-145,11410,-1
"41,700",1985,2015,110.93,¿¬Èñµ¿,µ¿Áøºô¶ó,11,23,90.18,141-34,11410,1
"18,000",1984,2015,14.58,¿¬Èñµ¿,(6-56),11,23,57.75,6-56,11410,2
"17,200",2003,2015,28.88,¿¬Èñµ¿,¿¹½ÇÈ¨Å¸¿î,11,24,51.84,106-23,11410,5
"74,500",1995,2015,169.18,¿¬Èñµ¿,Ã»ÇÐºô¶ó,11,25,163.98,6-19,11410,3
"18,500",2001,2015,30.67,¿¬Èñµ¿,¿¥Æ¼ºô,11,29,65.34,170-96,11410,4
"18,700",2013,2015,21.204,È«Àºµ¿,¸íÁö¿¡¹öºô,11,2,38.08,332-11,11410,4
"14,000",1988,2015,39.13,È«Àºµ¿,Á»°Çºô¶ó(°¡µ¿),11,6,42.33,195-7,11410,-1
"8,700",1988,2015,31.87,È«Àºµ¿,È«±¤,11,9,39.93,376-2,11410,2
"16,500",2004,2015,25.44,È«Àºµ¿,´ö¾ç¾ÆÆ®ºô,11,10,43.32,407-16,11410,3
"13,500",2002,2015,22.6,È«Àºµ¿,È«Àº¸®Ã÷ºô,11,10,47.31,190-7,11410,2
"7,000",1986,2015,24,È«Àºµ¿,»õ¸¶À»ºô¶ó,11,10,32.52,421-3,11410,2
"13,000",1995,2015,29.41,È«Àºµ¿,»ïÀÍºô¶ó(265-55),11,12,57.96,265-55,11410,1
"20,000",2015,2015,28.87,È«Àºµ¿,´õÇÃ·¹ÀÌ½º(191-52),11,12,45.72,191-52,11410,3
"20,500",2015,2015,29.97,È«Àºµ¿,´õÇÃ·¹ÀÌ½º(191-52),11,12,47.47,191-52,11410,5
"18,500",1997,2015,46.021,È«Àºµ¿,¿À¼ººô¶ó,11,16,70.38,188-14,11410,1
"12,500",1986,2015,36.58,È«Àºµ¿,¹é·Ãºô¶ó(°¡µ¿),11,17,60.12,190-57,11410,2
"12,300",2002,2015,16.06,È«Àºµ¿,Çö´ëÇÏ´Ïºô,11,18,34.38,397-6,11410,4
"28,500",1996,2015,51,È«Àºµ¿,½ºÀ§½ºÇö´ëºô¶óÆ®,11,20,132.17,189-5,11410,2
"16,440",2002,2015,39.1,È«Àºµ¿,Á¦ÀÏ°ñµçºô(³ªµ¿),11,20,67.27,17-48,11410,1
"21,000",2002,2015,27.92,È«Àºµ¿,À¯Ã¢ºô¶ó,11,25,61.04,265-47,11410,3
"10,000",1993,2015,26.51,ºÏ°¡ÁÂµ¿,´ë¿ìºô¸®Áö,11,3,59.45,3-145,11410,-1
"23,300",2012,2015,30.54,ºÏ°¡ÁÂµ¿,"±â·æÇÏÀÌÃ÷(A,Bµ¿)",11,5,49.78,337-6,11410,4
"24,500",2003,2015,27.84,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó(328-2),11,7,69.36,328-2,11410,4
"18,000",2001,2015,24.44,ºÏ°¡ÁÂµ¿,Çà¿îºô¶ó,11,8,55.2,279-18,11410,3
"18,500",2001,2015,22.71,ºÏ°¡ÁÂµ¿,Äý½ººô,11,9,58.16,5-112,11410,1
"19,800",2001,2015,32.08,ºÏ°¡ÁÂµ¿,´ë¼ººô¶ó,11,9,63.85,75-7,11410,3
"19,800",2013,2015,26.91,ºÏ°¡ÁÂµ¿,µ¿ÇÏ¾ÆÆ®ºô,11,9,44.1,7-4,11410,4
"20,000",2002,2015,36.68,ºÏ°¡ÁÂµ¿,Çö´ë¾ÆÆ®ºô,11,10,63.9,295-34,11410,4
"22,750",1982,2015,58.95,ºÏ°¡ÁÂµ¿,¹®È­¸Ç¼Ç(Bµ¿),11,12,68.68,370-4,11410,3
"17,800",1992,2015,20.64,ºÏ°¡ÁÂµ¿,¼ÛÀçºô¶ó,11,13,48.3,350-13,11410,2
"17,700",2008,2015,33.92,ºÏ°¡ÁÂµ¿,¼Ò¸Áºô,11,13,60.12,3-89,11410,2
"25,400",1995,2015,43,ºÏ°¡ÁÂµ¿,±×¸°Å¸¿î,11,14,84.78,341-8,11410,3
"17,700",2002,2015,26.08,ºÏ°¡ÁÂµ¿,½Å¾È¿ùµåºô,11,14,53.43,343-6,11410,5
"18,000",2006,2015,34.2,ºÏ°¡ÁÂµ¿,LGÅ¸¿î(277-2),11,14,58.47,277-2,11410,2
"26,800",2015,2015,32.93,ºÏ°¡ÁÂµ¿,´ë°í»þÀÎºô,11,15,45.2,339-18,11410,4
"16,000",1992,2015,32.74,ºÏ°¡ÁÂµ¿,(1-16),11,15,63.51,1-16,11410,1
"25,200",2015,2015,30.43,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô,11,15,44.56,336-9,11410,4
"14,000",2002,2015,17.4,ºÏ°¡ÁÂµ¿,´Ù¼Øºô¶ó,11,16,39.54,327-5,11410,4
"33,000",1990,2015,73.54,ºÏ°¡ÁÂµ¿,À¯È­ºô¸®Áö,11,16,94.89,341-17,11410,3
