°ÇÃà³âµµ,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¿¬¸³´Ù¼¼´ë,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
2001,2011,¿¬Èñµ¿,"6,000",¿¬¼¼¾ÆÅ©·ÎÆú¸®½º,6,0,24,94.64,290-1,11410,1
2001,2011,¿¬Èñµ¿,"15,000",È£¾Ï½¦¸£ºô,6,0,24,74.88,158-3,11410,4
2004,2011,¿¬Èñµ¿,"3,000",Ã¢¼ºÇÏ¿ì½º,6,30,25,74.03,287-16,11410,4
2002,2011,¿¬Èñµ¿,"1,000",(69-15),6,75,25,29.51,69-15,11410,2
1994,2011,¿¬Èñµ¿,"24,000",°ÅºØÇÏÀÌÃ÷,6,0,27,119.4,77-7,11410,1
2006,2011,¿¬Èñµ¿,500,"È­ÀÌÆ®ºô(B,Cµ¿)",6,63,30,57.59,48-9,11410,4
2000,2011,¿¬Èñµ¿,"3,000",¿¬Èï°¡³ª¾Èºô¶ó(520-110),6,40,30,59.74,520-110,11410,2
2000,2011,¿¬Èñµ¿,"2,800",¿¬Èï°¡³ª¾Èºô¶ó(520-110),6,41,30,59.74,520-110,11410,2
1994,2011,È«Àºµ¿,"1,500",ÇÑ¾ç¾ÆÆ®ºô¶ó,6,20,1,37.52,265-227,11410,-1
1998,2011,È«Àºµ¿,"15,000",´ë»óºô¶óÆ®,6,0,2,80.68,323-4,11410,3
1992,2011,È«Àºµ¿,"1,000",³ªÀººô¶ó(Cµ¿),6,35,8,39.42,265-155,11410,1
2004,2011,È«Àºµ¿,"14,000",µ¿¸²ÁÖÅÃ,6,0,10,74.77,395-40,11410,3
2002,2011,È«Àºµ¿,500,(338-29),6,37,10,20.7,338-29,11410,
1991,2011,È«Àºµ¿,"4,000",¾Æ¸§¾ÆÆ®ºô¶ó,6,0,10,44,274-69,11410,
1992,2011,È«Àºµ¿,"7,500",³ªÀººô¶ó(Bµ¿),6,0,10,50.24,265-160,11410,2
1987,2011,È«Àºµ¿,"7,500",±ÝÈ£ÁÖÅÃ-¿¡ÀÌµ¿,6,0,10,42.84,354-6,11410,2
1991,2011,È«Àºµ¿,"4,500",Ã»¹Ìºô¶ó(Bµ¿),6,35,13,44.79,189-2,11410,2
2011,2011,È«Àºµ¿,"5,000",(395-45),6,0,13,25.76,395-45,11410,3
2003,2011,È«Àºµ¿,500,È­ÀÌÆ®ºô5,6,50,13,29.16,395-38,11410,3
2011,2011,È«Àºµ¿,"10,000",Çö¿µºô¶ó(195-4),6,0,14,38.85,195-4,11410,4
2002,2011,È«Àºµ¿,"11,000",µµ¾ç¶óºñ¾Óºô(³ªµ¿),6,0,15,59.87,265-292,11410,
1989,2011,È«Àºµ¿,"6,000",Ã»¾Ï¾ÆÆ®È¦,6,0,16,58.5,8-1093,11410,3
2011,2011,È«Àºµ¿,"1,000",(395-45),6,33,16,16.4,395-45,11410,4
2010,2011,È«Àºµ¿,"6,000",(375-0),6,0,17,16.74,375,11410,2
1990,2011,È«Àºµ¿,"8,000",Á¤¿ìºô¶ó(³ªµ¿),6,0,20,45.8,189-56,11410,2
1986,2011,È«Àºµ¿,"8,000",¹é·Ãºô¶ó(´Ùµ¿),6,0,20,53.61,190-54,11410,1
2011,2011,È«Àºµ¿,"5,000",(395-45),6,0,21,25.76,395-45,11410,2
2011,2011,È«Àºµ¿,"9,000",Çö¿µºô¶ó(195-4),6,0,21,46.77,195-4,11410,5
1986,2011,È«Àºµ¿,"8,000",(294-5),6,0,22,44.12,294-5,11410,1
1995,2011,È«Àºµ¿,"5,000",Ã¢±¸ºô¶ó,6,0,24,56.1,265-63,11410,
1993,2011,È«Àºµ¿,"4,000",Ã»¿ì,6,30,27,50.13,338-102,11410,1
2011,2011,È«Àºµ¿,"10,000",Çö¿µºô¶ó(195-2),6,0,27,47.88,195-2,11410,5
1987,2011,È«Àºµ¿,"12,000",±ÝÈ£ÁÖÅÃ-ºñµ¿,6,0,27,51.885,354-7,11410,1
1990,2011,È«Àºµ¿,"9,000",À¯¸²ºô¶ó,6,0,28,55.58,206-18,11410,2
2011,2011,È«Àºµ¿,"13,000",Çö¿µºô¶ó(195-4),6,0,29,57.55,195-4,11410,3
1993,2011,È«Àºµ¿,"7,000",½Å¿µ¾ÆÆ®ºô¶ó,6,0,29,36.44,198-5,11410,1
1986,2011,È«Àºµ¿,"5,000",¹é·Ãºô¶ó(¸¶µ¿),6,0,30,40.6,190-5,11410,2
1985,2011,È«Àºµ¿,"8,000",»ï¼ººô¶ó,6,0,30,62.01,188-29,11410,2
2003,2011,ºÏ°¡ÁÂµ¿,"13,000",½ÅÇ³¾ÆÆ®ºô3Â÷,6,0,1,81.45,339-33,11410,1
2010,2011,ºÏ°¡ÁÂµ¿,"13,000",ÇØ¹ÐÅ¸¿îBµ¿,6,0,2,55.32,325-28,11410,2
2009,2011,ºÏ°¡ÁÂµ¿,"2,400",À¯´ÏÄ³½½,6,65,2,60.62,277-31,11410,4
2002,2011,ºÏ°¡ÁÂµ¿,"15,000",´º¿ùµåºô(373-6),6,0,2,77.01,373-6,11410,3
2002,2011,ºÏ°¡ÁÂµ¿,"13,000",´Ù¼Øºô¶ó,6,0,2,53.99,327-5,11410,3
2002,2011,ºÏ°¡ÁÂµ¿,"8,500",¹Ì¼º¼§±×¸±¶ó,6,0,3,44.04,281-4,11410,4
2010,2011,ºÏ°¡ÁÂµ¿,"13,000",ÇØ¹ÐÅ¸¿îBµ¿,6,0,4,55.32,325-28,11410,3
1991,2011,ºÏ°¡ÁÂµ¿,"3,000",»ïÈ£¸Ç¼Ç,6,40,4,55.71,332-5,11410,2
2001,2011,ºÏ°¡ÁÂµ¿,"15,000",ºÎ¼º,6,0,5,77,319-1,11410,3
2002,2011,ºÏ°¡ÁÂµ¿,"13,600",´ë¼ººô¶ó(346-16),6,0,5,77.94,346-16,11410,2
1991,2011,ºÏ°¡ÁÂµ¿,"9,500",µ¿³²ºô¶ó,6,0,5,43.41,278-26,11410,3
1993,2011,ºÏ°¡ÁÂµ¿,"5,000",(342-12),6,0,5,28.15,342-12,11410,2
1986,2011,ºÏ°¡ÁÂµ¿,"6,300",(75-21),6,0,6,40.14,75-21,11410,2
1991,2011,ºÏ°¡ÁÂµ¿,"4,000",¿ì¼ººô¶ó(321-21),6,0,7,42.15,321-21,11410,-1
1993,2011,ºÏ°¡ÁÂµ¿,"5,500",°Å¼ººô¶ó(320-17),6,0,7,41.88,320-17,11410,-1
2002,2011,ºÏ°¡ÁÂµ¿,"7,500",±×·»µ¥ÀÏºô¶ó,6,0,7,38.58,367-7,11410,1
1997,2011,ºÏ°¡ÁÂµ¿,"3,000",(344-18),6,0,9,30.72,344-18,11410,
2008,2011,ºÏ°¡ÁÂµ¿,"11,500",LGºô¶ó(276-5),6,0,9,55.65,276-5,11410,2
1996,2011,ºÏ°¡ÁÂµ¿,"8,000",À¯Àüºô¶ó,6,0,9,59.4,3-44,11410,4
2002,2011,ºÏ°¡ÁÂµ¿,"5,000",µ¿±¤ºô¶ó(316-16),6,40,10,46.22,316-16,11410,3
2001,2011,ºÏ°¡ÁÂµ¿,"12,000",Ã»¿ìÁÖÅÃ,6,0,11,72.69,302-33,11410,3
1995,2011,ºÏ°¡ÁÂµ¿,"11,000",¹Ì¼ººô¸®Áö(3-10),6,0,12,63.12,3-10,11410,3
1986,2011,ºÏ°¡ÁÂµ¿,"2,000",(317-1),6,40,13,36.87,317-1,11410,2
2002,2011,ºÏ°¡ÁÂµ¿,"10,000",½ÅÈï¾ÆÆ®ºô6Â÷,6,0,14,52.46,3-252,11410,4
1996,2011,ºÏ°¡ÁÂµ¿,"9,000",(380-2),6,0,15,45.42,380-2,11410,1
1993,2011,ºÏ°¡ÁÂµ¿,"9,000",¿¡µ§ºô¶ó,6,0,15,50.4,335-33,11410,2
1991,2011,ºÏ°¡ÁÂµ¿,"4,500",(273-1),6,0,16,29.22,273-1,11410,-1
1990,2011,ºÏ°¡ÁÂµ¿,"14,500",À¯È­ºô¸®Áö,6,0,16,84.81,341-17,11410,2
2006,2011,ºÏ°¡ÁÂµ¿,"15,000",¾ÆÁÖÇÏÀÌºô,6,0,17,62.2,274-12,11410,4
1997,2011,ºÏ°¡ÁÂµ¿,"9,000",´ëÈ­ºô¶ó(3-13),6,0,17,61.95,3-13,11410,1
2008,2011,ºÏ°¡ÁÂµ¿,"12,000",LGºô¶ó(276-5),6,0,17,56.08,276-5,11410,2
2003,2011,ºÏ°¡ÁÂµ¿,"13,500",½Å¾È¿ùµå(315-18),6,0,17,57.8,315-18,11410,4
2001,2011,ºÏ°¡ÁÂµ¿,"11,000",½ÃÆ¼ÇÏ¿ì½º,6,0,18,51.64,288-7,11410,4
2002,2011,ºÏ°¡ÁÂµ¿,"10,000",µ¿±¤ºô¶ó(316-16),6,0,18,48.38,316-16,11410,2
2006,2011,ºÏ°¡ÁÂµ¿,"8,500",µ¿È­ºô¶ó(343-19),6,10,20,31.04,343-19,11410,4
2010,2011,ºÏ°¡ÁÂµ¿,"12,800",ÇØ¹ÐÅ¸¿îBµ¿,6,0,20,55.32,325-28,11410,2
2010,2011,ºÏ°¡ÁÂµ¿,"13,000",ÇØ¹ÐÅ¸¿îAµ¿,6,0,20,55.32,325-25,11410,2
2006,2011,ºÏ°¡ÁÂµ¿,"11,000",¹Ì°Çº§¶ó½º,6,0,22,47.6,274-16,11410,5
2002,2011,ºÏ°¡ÁÂµ¿,"10,000",¼­°æÆÛ½ºÆ®ºô,6,0,22,50.8,286-14,11410,3
2001,2011,ºÏ°¡ÁÂµ¿,"14,000",¼öÁ¤¾ÆÆ®ºô¶ó,6,0,23,55.78,339-6,11410,3
1986,2011,ºÏ°¡ÁÂµ¿,"9,000",(3-240),6,0,23,59.21,3-240,11410,1
2007,2011,ºÏ°¡ÁÂµ¿,"9,800",¼¼Á¾ÆÄÅ©ºô¸®Áö(3-73),6,0,23,50.07,3-73,11410,4
1993,2011,ºÏ°¡ÁÂµ¿,"8,000",¹Ì¼ººô¸®Áö,6,0,23,62.49,3-22,11410,3
1993,2011,ºÏ°¡ÁÂµ¿,"8,500",Ã»±¸ºô,6,0,24,41.58,324-11,11410,2
2007,2011,ºÏ°¡ÁÂµ¿,"7,000",¼¼Á¾ÆÄÅ©ºô¸®Áö(3-73),6,0,24,33.12,3-73,11410,5
2002,2011,ºÏ°¡ÁÂµ¿,"5,000",¹Î¼ººô¶ó(290-5),6,40,25,53.76,290-5,11410,4
1991,2011,ºÏ°¡ÁÂµ¿,"11,000",»ïÈ­ºô¶ó,6,0,27,56.49,350-5,11410,3
1992,2011,ºÏ°¡ÁÂµ¿,"8,000",¼ÛÀçºô¶ó,6,0,27,36,350-13,11410,1
1992,2011,ºÏ°¡ÁÂµ¿,"11,000",¸¶´çºô¶ó,6,0,28,56.82,312-15,11410,3
1977,2011,ºÏ°¡ÁÂµ¿,"8,000",(366-3),6,0,30,56.86,366-3,11410,
2002,2011,ºÏ°¡ÁÂµ¿,"10,000",°ñµçÇÏÀÌÃ÷ºô¶óB,6,0,30,43.52,347-24,11410,4
2007,2011,ºÏ°¡ÁÂµ¿,"8,500",¼¼Á¾ºô¸®Áö2Â÷(3-109),6,0,30,37.43,3-109,11410,4
2011,2011,³²°¡ÁÂµ¿,"5,000",(5-188),6,0,1,12,5-188,11410,2
1995,2011,³²°¡ÁÂµ¿,"10,000",¸í¼ººô¶ó,6,0,2,60.3,363-4,11410,3
2003,2011,³²°¡ÁÂµ¿,"7,500",(175-89),6,0,7,33.9,175-89,11410,1
1986,2011,³²°¡ÁÂµ¿,"3,000",ÅÂ¾ç,6,10,11,33.03,5-120,11410,
1992,2011,³²°¡ÁÂµ¿,"1,000",(336-7),6,20,12,33,336-7,11410,2
2007,2011,³²°¡ÁÂµ¿,"9,000",¼¼Á¾ºô¸®Áö4Â÷(5-191),6,0,15,44.06,5-191,11410,2
1991,2011,³²°¡ÁÂµ¿,"7,000",ÀÏ½Åºô¶ó2µ¿,6,0,16,53.9,371-17,11410,
1994,2011,³²°¡ÁÂµ¿,"2,000",½ÅÇÑºô¶ó,6,30,17,59.01,335-11,11410,-1
2002,2011,³²°¡ÁÂµ¿,"10,000",Çù¼ººô¶ó,6,0,18,59.4,341-29,11410,3
2003,2011,³²°¡ÁÂµ¿,"3,000",¿À¼Ç¾ÆÆ®ºô,6,65,20,70.83,329-18,11410,2
1986,2011,³²°¡ÁÂµ¿,"4,500",(224-60),6,0,22,36.855,224-60,11410,1
2008,2011,³²°¡ÁÂµ¿,"12,500",¼¼Àººô¶ó,6,0,25,60.92,344-45,11410,4
1993,2011,³²°¡ÁÂµ¿,"9,500",¿µÁø¾ÆÆ®ºô¶ó,6,0,30,57.45,330-20,11410,3
2002,2011,ÃæÁ¤·Î2°¡,"20,000",¸£³×»ó½ººô,7,0,20,64.01,101,11410,5
1984,2011,ÃæÁ¤·Î3°¡,"12,000",µ¿º¸ºô¶ó,7,0,14,113.52,8-1,11410,2
1993,2011,ÃæÁ¤·Î3°¡,"13,000",µ¿¾Æ¾ÆÆ®ºô¶ó,7,0,18,42.93,8-5,11410,2
1970,2011,ÃæÁ¤·Î3°¡,"8,000",(3-303),7,0,19,61.85,3-303,11410,2
2006,2011,ÃæÁ¤·Î3°¡,"8,000",(3-363),7,0,20,32.58,3-363,11410,2
1984,2011,ÃæÁ¤·Î3°¡,"19,000",µ¿º¸ºô¶ó,7,0,20,179.52,8-1,11410,2
1995,2011,ÃæÁ¤·Î3°¡,"5,000",µ¿³²ÇÏÀÌÃ÷ºô¶ó,7,0,21,45.36,31-2,11410,4
1993,2011,Ãµ¿¬µ¿,"2,800",(120-98),7,0,15,40.64,120-98,11410,
1993,2011,Ãµ¿¬µ¿,"3,500",(120-98),7,0,15,40.64,120-98,11410,
1996,2011,¿ÁÃµµ¿,"5,000",(124-1),7,0,5,31.93,124-1,11410,3
2011,2011,ºÏ¾ÆÇöµ¿,"2,000",ÀÌ¾ÈÄ³½½,7,80,3,44.7,1-587,11410,1
2011,2011,ºÏ¾ÆÇöµ¿,"8,000",ÀÌ¾ÈÄ³½½,7,20,4,44.7,1-587,11410,2
1994,2011,ºÏ¾ÆÇöµ¿,"5,000",ÆòÈ­ºô¶óA,7,0,9,83.89,1-21,11410,-1
1991,2011,ºÏ¾ÆÇöµ¿,"13,000",´Ù³ªºô¶ó,7,0,11,70.77,1-218,11410,3
1994,2011,ºÏ¾ÆÇöµ¿,"9,000",Çö´ëÈÑ¹Ì¸®ºô¶ó,7,25,11,58.95,1-657,11410,3
2011,2011,ºÏ¾ÆÇöµ¿,"2,500",ÀÌ¾ÈÄ³½½,7,75,12,44.7,1-587,11410,3
1977,2011,ºÏ¾ÆÇöµ¿,"9,000",(113-34),7,0,15,51.07,113-34,11410,2
1977,2011,ºÏ¾ÆÇöµ¿,"9,000",(113-34),7,0,15,51.07,113-34,11410,2
2002,2011,ºÏ¾ÆÇöµ¿,"15,000",¼¼Á¾È­ÀÌÆ®ºô,7,0,19,81.52,123-64,11410,3
2002,2011,ºÏ¾ÆÇöµ¿,"15,000",¼¼Á¾È­ÀÌÆ®ºô,7,20,19,81.52,123-64,11410,3
2007,2011,ºÏ¾ÆÇöµ¿,"16,000",´ë¼º¾ÆÆ®ºô,7,0,19,74.48,1-74,11410,4
2003,2011,ºÏ¾ÆÇöµ¿,"15,000",°ñµçÈú,7,0,22,59.18,1-1212,11410,1
2000,2011,ºÏ¾ÆÇöµ¿,"1,000",ÆÄÀÎºô¶ó,7,50,27,26.46,123-82,11410,1
2003,2011,ºÏ¾ÆÇöµ¿,"8,000",ÇÑ¸¶À½ÇÏÀÌºô,7,80,28,65.64,183-7,11410,5
2007,2011,ºÏ¾ÆÇöµ¿,"23,500",ÇÑ¾çÈ¨Å¸¿î,7,0,30,75.23,1-496,11410,3
1994,2011,ºÏ¾ÆÇöµ¿,"15,000",(1-103),7,0,31,60,1-103,11410,3
2003,2011,È«Á¦µ¿,"15,000",¿ìÁøºô¶ó,7,0,1,58.8,201-15,11410,2
1986,2011,È«Á¦µ¿,"5,000",(156-338),7,0,1,32.4,156-338,11410,1
1986,2011,È«Á¦µ¿,"1,000",(156-346),7,30,4,31.24,156-346,11410,
1979,2011,È«Á¦µ¿,"6,000",(356-84),7,0,4,57.19,356-84,11410,2
1986,2011,È«Á¦µ¿,"4,000",(268-29),7,0,5,46.12,268-29,11410,
1997,2011,È«Á¦µ¿,"16,000",°Ç¿ì¾ÆÆ®ºô¶ó,7,0,6,72.54,130-2,11410,2
1997,2011,È«Á¦µ¿,"16,000",µ¿ÀÏºô¶óÆ®Aµ¿,7,0,7,105.98,312-11,11410,3
1994,2011,È«Á¦µ¿,"6,200",Çö´ëºô¶ó(19-6),7,0,7,39.03,19-6,11410,1
1993,2011,È«Á¦µ¿,"2,000",(122-25),7,60,9,39.27,122-25,11410,2
2002,2011,È«Á¦µ¿,"13,500",½á´Ïºô,7,0,9,56.21,122-2,11410,5
1992,2011,È«Á¦µ¿,"9,200",»ï¿øºô¶ó,7,0,9,66.63,342-8,11410,2
1987,2011,È«Á¦µ¿,"8,500",ÄÚ½º¸ð½ººô¶ó,7,0,9,29.07,267-8,11410,-1
1999,2011,È«Á¦µ¿,"8,500",(269-6),7,0,11,43.68,269-6,11410,3
1987,2011,È«Á¦µ¿,"10,000",¼­°­ºô¶ó2µ¿,7,0,11,49.44,90-6,11410,1
1997,2011,È«Á¦µ¿,"8,500",¿µÈ­ºô¶ó,7,0,13,42.45,122-24,11410,2
2000,2011,È«Á¦µ¿,"16,500",ÄÚ¾Æµå¸²ºô¶ó,7,0,14,73.35,341-4,11410,4
2009,2011,È«Á¦µ¿,"17,000",µ¿¾ç°ñµåºô,7,0,15,59.41,123-4,11410,5
1994,2011,È«Á¦µ¿,"12,500",Á¦ÀÏÇÏÀÌÃ÷ºô¶ó,7,0,16,93.75,321-8,11410,2
1994,2011,È«Á¦µ¿,"9,500",¿ì¼ººô¶ó,7,0,17,61.72,360-66,11410,3
2002,2011,È«Á¦µ¿,"5,000",´ë¼ººô¶ó(127-56),7,50,18,43.23,127-56,11410,2
1974,2011,È«Á¦µ¿,"7,500",¹«ÇÐAµ¿,7,0,18,60.03,314-6,11410,3
2003,2011,È«Á¦µ¿,"14,000",ºÀ¿µ¼¾½ººô,7,0,18,65.95,361-51,11410,2
1987,2011,È«Á¦µ¿,"7,500",±Ý°­ºô¶ó,7,0,18,34.47,9-75,11410,1
2002,2011,È«Á¦µ¿,"12,000",¿ì½Å¾ÆÆ®ºô(361-62),7,0,18,43.48,361-62,11410,3
1985,2011,È«Á¦µ¿,"13,000",°¡»êºô¶ó,7,0,19,90.48,360-6,11410,3
1980,2011,È«Á¦µ¿,"4,000",Á¦ÀÏÁÖÅÃ,7,0,21,35.37,266-3,11410,
2002,2011,È«Á¦µ¿,"7,500",¿µ¾ÆÆ®ºô¶ó,7,0,21,50.57,360-101,11410,1
2004,2011,È«Á¦µ¿,"8,000",¹Ì»êÁÖÅÃ,7,0,25,47.61,361-118,11410,2
1991,2011,È«Á¦µ¿,"5,500",¼ºÁøºô¶ó,7,0,25,46.25,315-43,11410,
1986,2011,È«Á¦µ¿,"7,500",(267-143),7,0,27,41.48,267-143,11410,2
1991,2011,È«Á¦µ¿,"12,000",Çö´ë±×·£µåºô¶ó,7,0,27,66.28,311-1,11410,3
1992,2011,È«Á¦µ¿,"2,000",(222-22),7,50,28,47.82,222-22,11410,4
1991,2011,È«Á¦µ¿,"12,000",ÃÊ¿øºô¶ó,7,0,29,35.26,5-55,11410,
1992,2011,È«Á¦µ¿,"2,000",»ïÀÏºô¶ó,7,20,29,60.14,361-54,11410,1
2004,2011,´ë½Åµ¿,"2,000",ÇÑÁö¿ø·ë,7,55,6,30,121-1,11410,4
2002,2011,´ë½Åµ¿,"10,000",±×·£µåÈú,7,10,19,42.4,126-2,11410,4
2003,2011,´ë½Åµ¿,"1,000",(84-6),7,55,21,22.05,84-6,11410,3
2006,2011,´ë½Åµ¿,"1,000",¹Ù¿ìÇÏ¿ì½º(129-3),7,61,25,26.34,129-3,11410,2
2001,2011,Ã¢Ãµµ¿,"7,000",¿¬¼¼ºô¶ó,7,0,1,27.66,90-50,11410,3
2003,2011,Ã¢Ãµµ¿,"13,500",¸ÞÆ®·Îºô,7,0,7,46.34,335,11410,4
2003,2011,Ã¢Ãµµ¿,500,¾ÆÅ©·ÎÆú¸®½º,7,50,11,28.05,184,11410,1
2007,2011,Ã¢Ãµµ¿,"6,500",Ã¢ÃµÀ²µµ±¹ÀÎ103µ¿,7,0,13,75.96,229-1,11410,2
2003,2011,Ã¢Ãµµ¿,"17,500",(277-0),7,0,14,114.92,277,11410,3
2011,2011,Ã¢Ãµµ¿,"2,000",(90-46),7,50,19,23.14,90-46,11410,3
2002,2011,Ã¢Ãµµ¿,"1,000",(334-0),7,70,20,39.84,334,11410,3
2002,2011,Ã¢Ãµµ¿,"1,000",ÇÁ·»Ä¡ºô¶ó,7,70,21,39.9,414,11410,3
1992,2011,Ã¢Ãµµ¿,"13,000",Çö´ëºô¶ó(510-18),7,0,23,61.32,510-18,11410,3
2001,2011,Ã¢Ãµµ¿,500,¿¬¼¼ºô¶ó,7,55,25,66.88,90-50,11410,3
2002,2011,Ã¢Ãµµ¿,"10,000",½É½ººô,7,0,27,28.82,501-4,11410,2
2002,2011,Ã¢Ãµµ¿,"6,000",½É½ººô,7,60,28,37.48,501-4,11410,2
2001,2011,¿¬Èñµ¿,"4,500",¿¬Èï°¡³ª¾Èºô¶ó,7,0,2,38.16,520-43,11410,3
1997,2011,¿¬Èñµ¿,"2,500",º¸¼ººô¶ó,7,30,2,30.44,187-120,11410,1
1998,2011,¿¬Èñµ¿,"40,000",¾¾Æ¼ºô,7,0,4,163.04,»ê22-10,11410,2
1992,2011,¿¬Èñµ¿,"5,000",»ó½Åºô¶óBµ¿,7,0,4,33.19,163-18,11410,4
2002,2011,¿¬Èñµ¿,"7,000",¾ÆÀÌºñÇÏ¿ì½º,7,0,5,35.28,287-11,11410,3
1992,2011,¿¬Èñµ¿,"12,000",¿¬ÈñÇÏÀÌÃ÷ºô¶ó,7,0,6,50.75,237-9,11410,2
1985,2011,¿¬Èñµ¿,"10,000",µ¿Áøºô¶ó,7,0,6,45.96,141-34,11410,2
1986,2011,¿¬Èñµ¿,"4,045",µ¿ÁøÁÖÅÃ1µ¿,7,35,7,43.11,142-31,11410,2
1985,2011,¿¬Èñµ¿,"8,000",µ¿Áøºô¶ó,7,0,9,45.96,141-34,11410,2
2000,2011,¿¬Èñµ¿,"7,500",±âÁ¤ºô¶ó,7,0,9,39.96,194-17,11410,1
1994,2011,¿¬Èñµ¿,"9,500",¿¬Èñ¹é»êºô¶ó,7,0,10,45.56,410-22,11410,
2001,2011,¿¬Èñµ¿,"5,000",(235-1),7,0,11,27.04,235-1,11410,1
1985,2011,¿¬Èñµ¿,"3,500",µ¿Áøºô¶ó,7,0,11,65.07,141-34,11410,2
2010,2011,¿¬Èñµ¿,"50,000",Á¤À±ºô¸®Áö,7,0,12,148.86,67-2,11410,4
1983,2011,¿¬Èñµ¿,"5,000",(702-13),7,30,13,56.52,702-13,11410,3
2001,2011,¿¬Èñµ¿,"2,000",(235-1),7,30,14,27.04,235-1,11410,2
2003,2011,¿¬Èñµ¿,"29,000",SerinHouse,7,0,14,102.44,6-24,11410,3
1981,2011,¿¬Èñµ¿,"13,000",¿¬Èñ¿¬¸³,7,0,15,63.97,187-1,11410,1
1992,2011,¿¬Èñµ¿,"22,000",¿À¼ººô¶ó¿¬¸³ÁÖÅÃ,7,0,16,83.12,699,11410,3
1990,2011,¿¬Èñµ¿,"10,000",À¯Áøºô¶ó,7,0,18,46.94,334-74,11410,1
1985,2011,¿¬Èñµ¿,"3,000",µ¿Áøºô¶ó,7,40,18,45.96,141-34,11410,
2007,2011,¿¬Èñµ¿,"7,000",¿ì¸®È¨Å¸¿î,7,0,19,29.52,275-1,11410,1
1985,2011,¿¬Èñµ¿,"14,000",µ¿Áøºô¶ó,7,0,21,65.07,141-34,11410,2
2003,2011,¿¬Èñµ¿,"12,000",(444-63),7,0,22,45.92,444-63,11410,2
2002,2011,¿¬Èñµ¿,"6,000",(340-42),7,0,24,78.87,340-42,11410,2
1995,2011,¿¬Èñµ¿,"13,000",µ¿¿ìÇÏÀÌÃ÷ºô¶ó,7,0,26,59.35,446-219,11410,3
1992,2011,¿¬Èñµ¿,"7,000",¿¬ÈñÁÖÅÃ(51-147),7,0,27,53.46,51-147,11410,3
1991,2011,¿¬Èñµ¿,"3,000",(171-3),7,60,29,55.26,171-3,11410,1
1986,2011,¿¬Èñµ¿,"3,000",µ¿ÁøÁÖÅÃ3µ¿,7,43,29,44.81,142-29,11410,2
1987,2011,¿¬Èñµ¿,500,(708-11),7,25,30,37.32,708-11,11410,-1
2002,2011,¿¬Èñµ¿,"6,000",¹é»êÅ¸¿î,7,0,30,23.23,69-2,11410,2
2002,2011,¿¬Èñµ¿,"1,500",(340-42),7,45,30,78.87,340-42,11410,1
1993,2011,È«Àºµ¿,"4,000",¹«¸íºô¶ó,7,0,1,46.65,265-423,11410,
2009,2011,È«Àºµ¿,"9,000",¸íÁøÇÏÀÌºô2Â÷,7,0,4,41.44,396-37,11410,1
2005,2011,È«Àºµ¿,"14,000",¼º¿ì¾ÆÆ®ºô(191-63),7,0,4,73.24,191-63,11410,1
2002,2011,È«Àºµ¿,"11,000",Á¤¿ìºô¶ó,7,0,11,58.8,190-18,11410,4
1988,2011,È«Àºµ¿,"5,000",Á»°Çºô¶ó(³ªµ¿),7,0,11,39.61,196-1,11410,1
1984,2011,È«Àºµ¿,"7,000",Á¾°Çºô¶ó(°¡µ¿),7,0,12,74.23,9-709,11410,1
2011,2011,È«Àºµ¿,"12,000",Çö¿µºô¶ó(195-4),7,0,12,57.55,195-4,11410,2
2011,2011,È«Àºµ¿,"12,000",Çö¿µºô¶ó(195-4),7,0,13,59.81,195-4,11410,
2010,2011,È«Àºµ¿,"11,000",»õ´ãºô2Â÷,7,0,13,59.64,188-2,11410,2
1989,2011,È«Àºµ¿,500,Ã»¾Ï¾ÆÆ®È¦,7,40,16,58.5,8-1093,11410,3
1991,2011,È«Àºµ¿,"6,000",È«Àººô¶ó(Å¸µ¿),7,0,19,49.26,265-221,11410,1
1980,2011,È«Àºµ¿,"5,000",(217-1),7,0,20,29.65,217-1,11410,1
1987,2011,È«Àºµ¿,"4,000",¿¬ÈñÁÖÅÃ-¶óµ¿,7,0,26,35.95,294-52,11410,
2001,2011,È«Àºµ¿,"12,000",´ë¸í¸Ç¼ð,7,0,28,73.47,415-13,11410,4
2011,2011,È«Àºµ¿,"5,500",(401-7),7,0,29,18.45,401-7,11410,2
2002,2011,È«Àºµ¿,"4,000",È«Àºµ¿Äý½ººô,7,10,29,22.41,332-6,11410,4
2011,2011,È«Àºµ¿,"12,000",Çö¿µºô¶ó(195-2),7,0,29,59.79,195-2,11410,4
2004,2011,ºÏ°¡ÁÂµ¿,"12,000",µ¥¹Ì¾Èºô,7,0,1,59.04,5-85,11410,5
1986,2011,ºÏ°¡ÁÂµ¿,"7,000",±â¸°ºô¶ó(°¡µ¿),7,0,1,40.86,376-11,11410,2
2002,2011,ºÏ°¡ÁÂµ¿,"11,000",¿ìÃ¢±×¸°ºô,7,10,1,60.46,280-9,11410,2
1991,2011,ºÏ°¡ÁÂµ¿,500,ÀÓÃ¢ÆÄÅ©ºô,7,45,1,31.63,80-88,11410,1
2003,2011,ºÏ°¡ÁÂµ¿,"10,000",ÇÑ¾Æ¸§ºô¶ó(302-23),7,0,2,54.21,302-23,11410,4
