건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2010,2011,전농동,"7,000",래미안아름숲,1,110,11,84.91,688,11230,11
2010,2011,전농동,"22,000",래미안아름숲,1,0,11,84.7,688,11230,1
1992,2011,전농동,"18,000",전농우성,1,0,12,115.56,6,11230,14
2000,2011,전농동,"16,500",전농동삼성래미안,1,0,12,59.93,155,11230,14
2010,2011,전농동,"22,000",래미안아름숲,1,0,12,84.91,688,11230,15
2000,2011,전농동,"17,000",전농SK,1,0,12,84.95,10,11230,23
2010,2011,전농동,"29,500",래미안아름숲,1,0,13,114.9,688,11230,3
2010,2011,전농동,"16,000",래미안아름숲,1,40,13,84.91,688,11230,14
1992,2011,전농동,"5,000",전농우성,1,60,13,59.78,6,11230,8
2010,2011,전농동,"24,000",래미안아름숲,1,0,14,84.91,688,11230,11
2010,2011,전농동,"11,500",래미안아름숲,1,70,14,84.92,688,11230,5
2010,2011,전농동,"25,000",래미안아름숲,1,0,14,84.91,688,11230,3
2010,2011,전농동,"30,000",래미안아름숲,1,0,14,114.92,688,11230,4
